"","x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1348",41.8333333333333,56.25,4.36090909090909,7.9069696969697,2.03363636363636,1061.38333333333,23.8030303030303,-14.2015151515151,38.0045454545455,17.6154545454545,-4.65515151515152,17.6154545454545,-9.49424242424242,600.80303030303,81.4272727272727,26.4606060606061,30.5212121212121,206.878787878788,92.8969696969697,206.878787878788,112.569696969697
"1349",45.5,56.25,3.75060606060606,7.84363636363636,1.95272727272727,1104.96060606061,23.9012121212121,-15.2645454545455,39.1657575757576,17.6442424242424,-8.66909090909091,17.6442424242424,-10.5872727272727,576.184848484848,77.6090909090909,23.069696969697,33.7484848484848,205.587878787879,81.5878787878788,205.587878787879,98.3969696969697
"1350",49.1666666666667,56.25,3.34939393939394,8.12575757575758,1.93757575757576,1149.65575757576,24.2709090909091,-16.7524242424242,41.0233333333333,17.6939393939394,-9.20515151515152,17.6939393939394,-11.6960606060606,568.466666666667,75.5454545454545,25.1151515151515,32.5121212121212,204.433333333333,86.9242424242424,204.433333333333,100.742424242424
"1351",52.8333333333333,56.25,2.93151515151515,8.94545454545455,2.04757575757576,1172.78242424242,24.7518181818182,-17.8830303030303,42.6348484848485,17.1215151515152,-5.83030303030303,17.5654545454545,-12.4545454545455,565.569696969697,71.630303030303,26.0909090909091,28.8575757575758,191.827272727273,89.8181818181818,191.3,108.139393939394
"1352",56.5,56.25,1.84151515151515,9.93272727272727,2.19757575757576,1201.85484848485,24.3145454545455,-19.9060606060606,44.2206060606061,16.6757575757576,-7.40666666666667,16.6757575757576,-14.069696969697,579.845454545455,75.3424242424242,24.3818181818182,32.0424242424242,206.072727272727,86.569696969697,206.072727272727,105.993939393939
"1353",60.1666666666667,56.25,1.67939393939394,9.65545454545454,2.16242424242424,1199.1,24.0281818181818,-19.650303030303,43.6784848484848,16.5648484848485,-12.17,16.5648484848485,-14.2021212121212,551.418181818182,94.7878787878788,19.6333333333333,47.6818181818182,233.287878787879,68.430303030303,233.287878787879,78.8787878787879
"1354",63.8333333333333,56.25,1.60606060606061,9.02787878787879,1.97969696969697,1258.15060606061,24.2042424242424,-20.3566666666667,44.5609090909091,17.1048484848485,-13.0672727272727,17.1048484848485,-15.0487878787879,443.124242424242,78.7060606060606,14.4515151515152,50.6545454545455,194.721212121212,51.7030303030303,194.721212121212,60.8121212121212
"1355",67.5,56.25,0.680606060606061,9.24818181818182,1.94787878787879,1315.53606060606,23.9706060606061,-22.4045454545455,46.3751515151515,16.8209090909091,-14.8030303030303,16.8209090909091,-16.7178787878788,420.942424242424,74.6363636363636,14.0666666666667,51.0030303030303,187.572727272727,48.9878787878788,187.572727272727,57.2545454545455
"1356",71.1666666666667,56.25,0.508181818181818,9.84030303030303,2.03060606060606,1330.60484848485,24.410303030303,-22.9269696969697,47.3372727272727,16.9393939393939,-15.0951515151515,16.9393939393939,-16.9709090909091,417.448484848485,68.9727272727273,13.7242424242424,50.2181818181818,186.406060606061,47.7636363636364,186.406060606061,55.5515151515152
"1357",74.8333333333333,56.25,0.0406060606060606,10.2863636363636,2.08212121212121,1350.99363636364,24.5627272727273,-23.8184848484849,48.3812121212121,16.7269696969697,-15.7309090909091,16.7269696969697,-17.7433333333333,433.709090909091,69.3333333333333,14.4030303030303,48.569696969697,189.672727272727,50.7424242424242,189.672727272727,59.0818181818182
"1358",78.5,56.25,-0.274242424242424,10.1087878787879,2.02030303030303,1360.62757575758,24.7190909090909,-23.7454545454545,48.4645454545455,16.689696969697,-16.0784848484848,16.689696969697,-18.1460606060606,428.124242424242,69.130303030303,14.8969696969697,47.0212121212121,182.918181818182,52.1121212121212,182.918181818182,60.1333333333333
"1359",82.1666666666666,56.25,0.0615151515151515,10.4042424242424,2.12424242424242,1326.85575757576,24.9066666666667,-22.9339393939394,47.8406060606061,16.7309090909091,-15.0930303030303,16.7309090909091,-17.3751515151515,450.154545454545,66.4515151515152,15.3393939393939,44.9757575757576,186.539393939394,53.7272727272727,186.539393939394,62.6757575757576
"1360",85.8333333333333,56.25,0.464848484848485,10.2060606060606,2.13545454545455,1296.68818181818,24.8630303030303,-21.8715151515152,46.7345454545455,16.8806060606061,-13.5169696969697,16.8806060606061,-16.5251515151515,524.263636363636,71.0060606060606,18.9939393939394,39.2393939393939,203.639393939394,67.2,203.639393939394,78.9212121212121
"1361",89.5,56.25,0.0484848484848485,10.9248484848485,2.24060606060606,1297.49848484848,24.6627272727273,-23.0975757575758,47.760303030303,16.520303030303,-14.3727272727273,16.520303030303,-17.020303030303,465.193939393939,72.9212121212121,13.7606060606061,50.7272727272727,205.130303030303,47.4878787878788,205.130303030303,57.4484848484848
"1362",93.1666666666666,56.25,-0.565151515151515,10.8975757575758,2.24484848484849,1298.77424242424,23.9590909090909,-23.6563636363636,47.6154545454545,15.86,-15.0766666666667,15.86,-17.7809090909091,482.842424242424,79.1151515151515,14.4757575757576,51.1181818181818,211.575757575758,48.3909090909091,211.575757575758,58.3151515151515
"1363",96.8333333333333,56.25,-1.62515151515152,12.3681818181818,2.32060606060606,1399.80575757576,24.2618181818182,-27.9387878787879,52.2006060606061,15.7,-17.6357575757576,15.7,-20.6566666666667,400.118181818182,76.769696969697,10.7969696969697,59.8909090909091,189.084848484848,39.0909090909091,189.084848484848,46.3848484848485
"1364",100.5,56.25,-1.68878787878788,13.4936363636364,2.55181818181818,1342.27242424242,24.1987878787879,-27.82,52.0187878787879,15.1284848484848,-17.0533333333333,15.1578787878788,-19.8078787878788,375.833333333333,73.4545454545455,9.35454545454546,64.7272727272727,185.042424242424,34.2151515151515,185.027272727273,43.6
"1365",104.166666666667,56.25,-3.80060606060606,13.3621212121212,2.37939393939394,1480.52606060606,23.7793939393939,-31.3606060606061,55.14,14.6545454545455,-20.4284848484848,14.6545454545455,-23.759696969697,399.566666666667,69.4454545454546,11.9151515151515,56.4151515151515,185.154545454545,40.230303030303,185.154545454545,54.0848484848485
"1366",107.833333333333,56.25,-5.16909090909091,12.6851515151515,2.30121212121212,1478.52545454545,21.8154545454545,-32.3660606060606,54.1815151515152,13.1327272727273,-20.2839393939394,13.3063636363636,-24.8936363636364,409.9,76.7393939393939,10.9727272727273,61.0757575757576,196.99696969697,39.9878787878788,196.651515151515,53.4575757575758
