"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"94","-2475","-4275",4.8,4.8,5.1,4.5,5.1,5.1,4.5,3.3,3,4.8,5.1,4.2
"95","-2400","-4275",10.8,11.7,13.2,10.2,11.7,12.9,10.8,8.4,10.8,14.4,14.1,8.7
"96","-2325","-4275",33.3,48.9,64.5,60.9,57,53.7,43.5,27.9,38.4,53.4,43.5,27.9
"97","1875","-4275",123.6,102.6,89.1,68.7,57.3,60,71.7,81.9,138,150.6,156.6,133.5
"98","1950","-4275",67.5,56.1,53.7,42,48.6,78.3,86.7,91.2,114.3,89.4,89.1,70.8
"99","2025","-4275",39,33.6,33.6,28.8,35.1,68.1,80.1,81.3,81.3,51.3,50.1,38.7
"100","2100","-4275",28.2,24,22.8,23.1,20.1,36.6,55.2,57.6,59.7,38.7,36.6,27.6
"101","-2700","-4162.5",0,0,0,0,0,0,0,0,0,0,0,0
"102","-2625","-4162.5",4.8,6,6.6,6,7.8,6.3,5.1,3.9,3.3,4.8,5.1,5.4
"103","-2550","-4162.5",6.9,8.7,8.7,8.4,9.9,9.3,7.8,4.5,3.6,6.6,8.1,6.9
"104","-2475","-4162.5",4.8,5.1,5.4,4.8,5.4,5.4,4.5,3.6,3,4.5,4.8,4.2
"105","-2400","-4162.5",9.3,10.2,11.1,8.4,8.7,9.9,9,7.5,9.9,11.7,11.7,8.4
"106","-2325","-4162.5",33.3,50.4,66,66,60.6,56.4,46.2,29.1,38.7,53.4,42.3,29.1
"107","1875","-4162.5",132.6,105.9,90.9,69.3,61.5,62.4,69.9,89.7,165.9,163.5,175.2,138.6
"108","1950","-4162.5",70.8,58.5,55.5,47.4,60.9,92.1,99.6,100.8,130.5,97.2,93,72.6
"109","2025","-4162.5",30.9,26.1,24.6,23.7,28.8,55.5,70.8,67.8,66.9,39.9,37.8,29.4
"110","2100","-4162.5",28.8,24.6,22.8,22.5,22.8,36.9,54.6,62.7,66.9,44.4,41.1,29.4
"111","-2700","-4050",0,0,0,0,0,0,0,0,0,0,0,0
"112","-2625","-4050",3.9,5.1,5.7,5.4,7.2,6,4.8,3.6,3,4.2,4.2,4.5
"113","-2550","-4050",6,7.5,7.8,7.8,9.3,8.7,7.2,4.2,3.3,5.7,7.2,6
"114","-2475","-4050",5.1,6,6.3,5.4,5.7,6,5.1,4.2,3.6,4.8,4.8,4.2
"115","-2400","-4050",9.6,10.5,10.5,7.8,7.5,8.4,7.8,7.2,9,9.6,10.8,9
"116","-2325","-4050",34.5,50.7,64.2,66.3,60.9,57.3,48.3,30.6,38.7,51.9,40.8,30.3
"117","1800","-4050",161.1,130.5,105.9,87,66.6,41.7,51.3,91.5,183.9,218.7,226.5,181.5
"118","1875","-4050",111.3,91.5,77.4,62.4,70.5,82.8,87.6,99.6,165.6,153,156,120.9
"119","1950","-4050",57.3,48,47.4,45.9,64.2,106.5,113.4,104.7,113.4,81,75.9,60.6
"120","2025","-4050",20.1,17.1,17.4,21.3,27.3,54.3,69,60,53.4,30,24.6,19.5
"121","2100","-4050",26.4,22.5,23.1,24.9,17.4,27.9,44.7,55.2,64.2,44.1,41.4,29.1
"122","-2700","-3937.5",0,0,0,0,0,0,0,0,0,0,0,0
